x = 906.76, y = 1.102734e-03
x = 916.67, y = 1.102734e-03
x = 926.58, y = 1.102734e-03
x = 936.49, y = 1.102734e-03
x = 946.40, y = 1.102734e-03
x = 956.31, y = 1.102734e-03
x = 966.22, y = 1.102734e-03
x = 976.13, y = 1.102734e-03
x = 986.04, y = 1.102734e-03
x = 995.95, y = 1.102734e-03
x = 1005.86, y = 1.102897e-03
x = 1015.77, y = 1.103178e-03
x = 1025.68, y = 1.103463e-03
x = 1035.59, y = 1.103752e-03
x = 1045.50, y = 1.104046e-03
x = 1055.41, y = 1.104344e-03
x = 1065.32, y = 1.104646e-03
x = 1075.23, y = 1.104952e-03
x = 1085.14, y = 1.105263e-03
x = 1095.05, y = 1.105579e-03
x = 1104.95, y = 1.105898e-03
x = 1114.86, y = 1.106222e-03
x = 1124.77, y = 1.106551e-03
x = 1134.68, y = 1.106883e-03
x = 1144.59, y = 1.107220e-03
x = 1154.50, y = 1.107562e-03
x = 1164.41, y = 1.107907e-03
x = 1174.32, y = 1.108257e-03
x = 1184.23, y = 1.108610e-03
x = 1194.14, y = 1.108944e-03
x = 1204.05, y = 1.109285e-03
x = 1213.96, y = 1.109633e-03
x = 1223.87, y = 1.109988e-03
x = 1233.78, y = 1.110350e-03
x = 1243.69, y = 1.110720e-03
x = 1253.60, y = 1.111097e-03
x = 1263.51, y = 1.111481e-03
x = 1273.42, y = 1.111872e-03
x = 1283.33, y = 1.112271e-03
x = 1293.24, y = 1.112677e-03
x = 1303.15, y = 1.113090e-03
x = 1313.06, y = 1.113510e-03
x = 1322.97, y = 1.113937e-03
x = 1332.88, y = 1.114372e-03
x = 1342.79, y = 1.114814e-03
x = 1352.70, y = 1.115263e-03
x = 1362.61, y = 1.115719e-03
x = 1372.52, y = 1.116230e-03
x = 1382.43, y = 1.116789e-03
x = 1392.34, y = 1.117352e-03
x = 1402.25, y = 1.117917e-03
x = 1412.16, y = 1.118485e-03
x = 1422.07, y = 1.119055e-03
x = 1431.98, y = 1.119629e-03
x = 1441.89, y = 1.120206e-03
x = 1451.80, y = 1.120786e-03
x = 1461.71, y = 1.121368e-03
x = 1471.62, y = 1.121954e-03
x = 1481.53, y = 1.122542e-03
x = 1491.44, y = 1.123134e-03
x = 1501.35, y = 1.123728e-03
x = 1511.26, y = 1.124325e-03
x = 1521.17, y = 1.124925e-03
x = 1531.08, y = 1.125528e-03
x = 1540.99, y = 1.126134e-03
x = 1550.90, y = 1.126743e-03
x = 1560.81, y = 1.127074e-03
x = 1570.72, y = 1.127422e-03
x = 1580.63, y = 1.127790e-03
x = 1590.54, y = 1.128178e-03
x = 1600.45, y = 1.128586e-03
x = 1610.36, y = 1.129015e-03
x = 1620.27, y = 1.129464e-03
x = 1630.18, y = 1.129933e-03
x = 1640.09, y = 1.130422e-03
x = 1650.00, y = 1.130931e-03
x = 1659.91, y = 1.131461e-03
x = 1669.82, y = 1.132011e-03
x = 1679.73, y = 1.132581e-03
x = 1689.64, y = 1.133171e-03
x = 1699.55, y = 1.133782e-03
x = 1709.46, y = 1.134412e-03
x = 1719.37, y = 1.135063e-03
x = 1729.28, y = 1.135734e-03
x = 1739.19, y = 1.136660e-03
x = 1749.10, y = 1.137882e-03
x = 1759.01, y = 1.139118e-03
x = 1768.92, y = 1.140367e-03
x = 1778.83, y = 1.141629e-03
x = 1788.74, y = 1.142905e-03
x = 1798.65, y = 1.144193e-03
x = 1808.56, y = 1.145495e-03
x = 1818.47, y = 1.146811e-03
x = 1828.38, y = 1.148139e-03
x = 1838.29, y = 1.149481e-03
x = 1848.20, y = 1.150836e-03
x = 1858.11, y = 1.152204e-03
x = 1868.02, y = 1.153586e-03
x = 1877.93, y = 1.154981e-03
x = 1887.84, y = 1.156389e-03
x = 1897.75, y = 1.157810e-03
x = 1907.66, y = 1.159245e-03
x = 1917.57, y = 1.160693e-03
x = 1927.48, y = 1.161614e-03
x = 1937.39, y = 1.162501e-03
x = 1947.30, y = 1.163402e-03
x = 1957.21, y = 1.164317e-03
x = 1967.12, y = 1.165247e-03
x = 1977.03, y = 1.166189e-03
x = 1986.94, y = 1.167146e-03
x = 1996.85, y = 1.168117e-03
x = 2006.76, y = 1.169102e-03
x = 2016.67, y = 1.170100e-03
x = 2026.58, y = 1.171113e-03
x = 2036.49, y = 1.172139e-03
x = 2046.40, y = 1.173180e-03
x = 2056.31, y = 1.174234e-03
x = 2066.22, y = 1.175302e-03
x = 2076.13, y = 1.176384e-03
x = 2086.04, y = 1.177480e-03
x = 2095.95, y = 1.178590e-03
x = 2105.86, y = 1.179892e-03
x = 2115.77, y = 1.181501e-03
x = 2125.68, y = 1.183139e-03
x = 2135.59, y = 1.184805e-03
x = 2145.50, y = 1.186500e-03
x = 2155.41, y = 1.188224e-03
x = 2165.32, y = 1.189976e-03
x = 2175.23, y = 1.191756e-03
x = 2185.14, y = 1.193565e-03
x = 2195.05, y = 1.195403e-03
x = 2204.95, y = 1.197268e-03
x = 2214.86, y = 1.199163e-03
x = 2224.77, y = 1.201086e-03
x = 2234.68, y = 1.203037e-03
x = 2244.59, y = 1.205017e-03
x = 2254.50, y = 1.207025e-03
x = 2264.41, y = 1.209062e-03
x = 2274.32, y = 1.211127e-03
