x = 550.00, y = 4.941269e-03
x = 559.91, y = 4.941269e-03
x = 569.82, y = 4.941269e-03
x = 579.73, y = 4.941269e-03
x = 589.64, y = 4.941269e-03
x = 599.55, y = 4.941269e-03
x = 609.46, y = 4.941269e-03
x = 619.37, y = 4.941269e-03
x = 629.28, y = 4.941269e-03
x = 639.19, y = 4.941269e-03
x = 649.10, y = 4.941269e-03
x = 659.01, y = 4.941269e-03
x = 668.92, y = 4.941269e-03
x = 678.83, y = 4.941269e-03
x = 688.74, y = 4.941269e-03
x = 698.65, y = 4.941269e-03
x = 708.56, y = 4.941269e-03
x = 718.47, y = 4.941269e-03
x = 728.38, y = 4.941269e-03
x = 738.29, y = 4.941269e-03
x = 748.20, y = 4.941269e-03
x = 758.11, y = 4.941269e-03
x = 768.02, y = 4.941269e-03
x = 777.93, y = 4.941269e-03
x = 787.84, y = 4.941269e-03
x = 797.75, y = 4.941269e-03
x = 807.66, y = 4.941269e-03
x = 817.57, y = 4.941269e-03
x = 827.48, y = 4.941269e-03
x = 837.39, y = 4.941269e-03
x = 847.30, y = 4.941269e-03
x = 857.21, y = 4.941269e-03
x = 867.12, y = 4.941269e-03
x = 877.03, y = 4.941269e-03
x = 886.94, y = 4.941269e-03
x = 896.85, y = 4.941269e-03
x = 906.76, y = 4.941269e-03
x = 916.67, y = 4.941269e-03
x = 926.58, y = 4.941269e-03
x = 936.49, y = 4.941269e-03
x = 946.40, y = 4.941269e-03
x = 956.31, y = 4.941269e-03
x = 966.22, y = 4.941269e-03
x = 976.13, y = 4.941269e-03
x = 986.04, y = 4.941269e-03
x = 995.95, y = 4.941269e-03
x = 1005.86, y = 4.938041e-03
x = 1015.77, y = 4.932622e-03
x = 1025.68, y = 4.927260e-03
x = 1035.59, y = 4.921953e-03
x = 1045.50, y = 4.916702e-03
x = 1055.41, y = 4.911508e-03
x = 1065.32, y = 4.906369e-03
x = 1075.23, y = 4.901286e-03
x = 1085.14, y = 4.896258e-03
x = 1095.05, y = 4.891287e-03
x = 1104.95, y = 4.886372e-03
x = 1114.86, y = 4.881513e-03
x = 1124.77, y = 4.876709e-03
x = 1134.68, y = 4.871962e-03
x = 1144.59, y = 4.867270e-03
x = 1154.50, y = 4.862634e-03
x = 1164.41, y = 4.858055e-03
x = 1174.32, y = 4.853531e-03
x = 1184.23, y = 4.849063e-03
x = 1194.14, y = 4.844651e-03
x = 1204.05, y = 4.840294e-03
x = 1213.96, y = 4.835994e-03
x = 1223.87, y = 4.831750e-03
x = 1233.78, y = 4.827562e-03
x = 1243.69, y = 4.823429e-03
x = 1253.60, y = 4.819352e-03
x = 1263.51, y = 4.815332e-03
x = 1273.42, y = 4.811367e-03
x = 1283.33, y = 4.807458e-03
x = 1293.24, y = 4.803605e-03
x = 1303.15, y = 4.799808e-03
x = 1313.06, y = 4.796067e-03
x = 1322.97, y = 4.792382e-03
x = 1332.88, y = 4.788753e-03
x = 1342.79, y = 4.785179e-03
x = 1352.70, y = 4.781662e-03
x = 1362.61, y = 4.778200e-03
x = 1372.52, y = 4.774795e-03
x = 1382.43, y = 4.771445e-03
x = 1392.34, y = 4.768151e-03
x = 1402.25, y = 4.764913e-03
x = 1412.16, y = 4.761731e-03
x = 1422.07, y = 4.758605e-03
x = 1431.98, y = 4.755535e-03
x = 1441.89, y = 4.752521e-03
x = 1451.80, y = 4.749563e-03
x = 1461.71, y = 4.746660e-03
x = 1471.62, y = 4.743814e-03
x = 1481.53, y = 4.741023e-03
x = 1491.44, y = 4.738289e-03
x = 1501.35, y = 4.735610e-03
x = 1511.26, y = 4.732987e-03
x = 1521.17, y = 4.730420e-03
x = 1531.08, y = 4.727909e-03
x = 1540.99, y = 4.725454e-03
x = 1550.90, y = 4.723055e-03
x = 1560.81, y = 4.720711e-03
x = 1570.72, y = 4.718424e-03
x = 1580.63, y = 4.716193e-03
x = 1590.54, y = 4.714017e-03
x = 1600.45, y = 4.711897e-03
x = 1610.36, y = 4.709834e-03
x = 1620.27, y = 4.707826e-03
x = 1630.18, y = 4.705874e-03
x = 1640.09, y = 4.703978e-03
x = 1650.00, y = 4.702138e-03
x = 1659.91, y = 4.700354e-03
x = 1669.82, y = 4.698626e-03
x = 1679.73, y = 4.696953e-03
x = 1689.64, y = 4.695337e-03
x = 1699.55, y = 4.693776e-03
x = 1709.46, y = 4.692272e-03
x = 1719.37, y = 4.690823e-03
x = 1729.28, y = 4.689430e-03
x = 1739.19, y = 4.688094e-03
x = 1749.10, y = 4.686813e-03
x = 1759.01, y = 4.685588e-03
x = 1768.92, y = 4.684419e-03
x = 1778.83, y = 4.683305e-03
x = 1788.74, y = 4.682248e-03
x = 1798.65, y = 4.681247e-03
x = 1808.56, y = 4.680301e-03
x = 1818.47, y = 4.679412e-03
x = 1828.38, y = 4.678578e-03
x = 1838.29, y = 4.677800e-03
x = 1848.20, y = 4.677079e-03
x = 1858.11, y = 4.676413e-03
x = 1868.02, y = 4.675803e-03
x = 1877.93, y = 4.675249e-03
x = 1887.84, y = 4.674750e-03
x = 1897.75, y = 4.674308e-03
x = 1907.66, y = 4.673922e-03
x = 1917.57, y = 4.673592e-03
x = 1927.48, y = 4.673317e-03
x = 1937.39, y = 4.673098e-03
x = 1947.30, y = 4.672936e-03
x = 1957.21, y = 4.672829e-03
x = 1967.12, y = 4.672778e-03
x = 1977.03, y = 4.672783e-03
x = 1986.94, y = 4.672844e-03
x = 1996.85, y = 4.672961e-03
x = 2006.76, y = 4.674448e-03
x = 2016.67, y = 4.676572e-03
x = 2026.58, y = 4.678714e-03
x = 2036.49, y = 4.680873e-03
x = 2046.40, y = 4.683049e-03
x = 2056.31, y = 4.685243e-03
x = 2066.22, y = 4.687454e-03
x = 2076.13, y = 4.689683e-03
x = 2086.04, y = 4.691929e-03
x = 2095.95, y = 4.694193e-03
x = 2105.86, y = 4.696474e-03
x = 2115.77, y = 4.698773e-03
x = 2125.68, y = 4.701089e-03
x = 2135.59, y = 4.703422e-03
x = 2145.50, y = 4.705773e-03
x = 2155.41, y = 4.708141e-03
x = 2165.32, y = 4.710527e-03
x = 2175.23, y = 4.712930e-03
x = 2185.14, y = 4.715351e-03
x = 2195.05, y = 4.717789e-03
x = 2204.95, y = 4.720245e-03
x = 2214.86, y = 4.722718e-03
x = 2224.77, y = 4.725208e-03
x = 2234.68, y = 4.727716e-03
x = 2244.59, y = 4.730241e-03
x = 2254.50, y = 4.732784e-03
x = 2264.41, y = 4.735344e-03
x = 2274.32, y = 4.737922e-03
x = 2284.23, y = 4.740517e-03
x = 2294.14, y = 4.743130e-03
x = 2304.05, y = 4.745760e-03
x = 2313.96, y = 4.748407e-03
x = 2323.87, y = 4.751072e-03
x = 2333.78, y = 4.753755e-03
x = 2343.69, y = 4.756454e-03
x = 2353.60, y = 4.759172e-03
x = 2363.51, y = 4.761906e-03
x = 2373.42, y = 4.764658e-03
x = 2383.33, y = 4.767428e-03
x = 2393.24, y = 4.770215e-03
x = 2403.15, y = 4.773020e-03
x = 2413.06, y = 4.775841e-03
x = 2422.97, y = 4.778681e-03
x = 2432.88, y = 4.781538e-03
x = 2442.79, y = 4.784412e-03
x = 2452.70, y = 4.787304e-03
x = 2462.61, y = 4.790213e-03
x = 2472.52, y = 4.793139e-03
x = 2482.43, y = 4.796083e-03
x = 2492.34, y = 4.799045e-03
x = 2502.25, y = 4.802024e-03
